CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2015-01-16,Guinea,,13 January 2015,Probable,288,288
2015-01-16,Guinea,,13 January 2015,Suspected,12,Not available
2015-01-16,Guinea,,13 January 2015,Total,2825,1829
2015-01-16,Liberia,,12 January 2015,Confirmed,3127,Not available
2015-01-16,Liberia,,12 January 2015,Probable,1841,Not available
2015-01-16,Liberia,,12 January 2015,Suspected,3394,Not available
2015-01-16,Liberia,,12 January 2015,Total,8362,3556
2015-01-16,Sierra Leone,,13 January 2015,Confirmed,7825,2717
2015-01-16,Sierra Leone,,13 January 2015,Probable,287,208
2015-01-16,Sierra Leone,,13 January 2015,Suspected,2074,158
2015-01-16,Sierra Leone,,13 January 2015,Total,10186,3083
2015-01-16,All countries,,,Total,21373,8468
2015-01-19,Guinea,,17 January 2015,Confirmed,2539,1556
2015-01-19,Guinea,,17 January 2015,Probable,319,319
2015-01-19,Guinea,,17 January 2015,Suspected,15,Not available
2015-01-19,Guinea,,17 January 2015,Total,2873,1875
2015-01-19,Liberia,,15 January 2015,Confirmed,3131,Not available
2015-01-19,Liberia,,15 January 2015,Probable,1850,Not available
2015-01-19,Liberia,,15 January 2015,Suspected,3454,Not available
2015-01-19,Liberia,,15 January 2015,Total,8435,3587
2015-01-19,Sierra Leone,,17 January 2015,Confirmed,7883,2766
2015-01-19,Sierra Leone,,17 January 2015,Probable,287,208
2015-01-19,Sierra Leone,,17 January 2015,Suspected,2136,158
2015-01-19,Sierra Leone,,17 January 2015,Total,10306,3132
2015-01-19,All countries,,,Total,21614,8594
2015-01-20,Guinea,,18 January 2015,Confirmed,2539,1557
2015-01-20,Guinea,,18 January 2015,Probable,319,319
2015-01-20,Guinea,,18 January 2015,Suspected,13,Not available
2015-01-20,Guinea,,18 January 2015,Total,2871,1876
2015-01-20,Liberia,,18 January 2015,Confirmed,3135,Not available
2015-01-20,Liberia,,18 January 2015,Probable,1854,Not available
2015-01-20,Liberia,,18 January 2015,Suspected,3489,Not available
2015-01-20,Liberia,,18 January 2015,Total,8478,3605
2015-01-20,Sierra Leone,,18 January 2015,Confirmed,7903,2779
2015-01-20,Sierra Leone,,18 January 2015,Probable,287,208
2015-01-20,Sierra Leone,,18 January 2015,Suspected,2150,158
2015-01-20,Sierra Leone,,18 January 2015,Total,10340,3145
2015-01-20,All countries,,,Total,21689,8626
2015-01-21,Guinea,18 January 2015,Confirmed,2539,136,1557
2015-01-21,Guinea,18 January 2015,Probable,319,Not reported,319
2015-01-21,Guinea,18 January 2015,Suspected,13,Not reported,Data not available.
2015-01-21,Guinea,18 January 2015,Total,2871,136,1876
2015-01-21,Liberia,18 January 2015,Confirmed,3135,25,Data not available.
2015-01-21,Liberia,18 January 2015,Probable,1854,Not reported,Data not available.
2015-01-21,Liberia,18 January 2015,Suspected,3489,Not reported,Data not available.
2015-01-21,Liberia,18 January 2015,Total,8478,25,3605
2015-01-21,Sierra Leone,18 January 2015,Confirmed,7903,549,2779
2015-01-21,Sierra Leone,18 January 2015,Probable,287,Not reported,208
2015-01-21,Sierra Leone,18 January 2015,Suspected,2150,Not reported,158
2015-01-21,Sierra Leone,18 January 2015,Total,10340,549,3145
2015-01-21,All countries,,Total,21689,710,8626
2015-01-22,Guinea,,19 January 2015,Confirmed,2542,1560
2015-01-22,Guinea,,19 January 2015,Probable,319,319
2015-01-22,Guinea,,19 January 2015,Suspected,12,Not available
2015-01-22,Guinea,,19 January 2015,Total,2873,1879
2015-01-22,Liberia,,20 January 2015,Confirmed,3136,Not available
2015-01-22,Liberia,,20 January 2015,Probable,1854,Not available
2015-01-22,Liberia,,20 January 2015,Suspected,3534,Not available
2015-01-22,Liberia,,20 January 2015,Total,8524,3636
2015-01-22,Sierra Leone,,19 January 2015,Confirmed,7909,2787
2015-01-22,Sierra Leone,,19 January 2015,Probable,287,208
2015-01-22,Sierra Leone,,19 January 2015,Suspected,2166,158
2015-01-22,Sierra Leone,,19 January 2015,Total,10362,3153
2015-01-22,All countries,,,Total,21759,8668
2015-01-23,Guinea,,20 January 2015,Confirmed,2545,1561
2015-01-23,Guinea,,20 January 2015,Probable,319,319
2015-01-23,Guinea,,20 January 2015,Suspected,9,not available
2015-01-23,Guinea,,20 January 2015,Total,2873,1880
2015-01-23,Liberia,,20 January 2015,Confirmed,3136,not available
2015-01-23,Liberia,,20 January 2015,Probable,1854,not available
2015-01-23,Liberia,,20 January 2015,Suspected,3534,not available
2015-01-23,Liberia,,20 January 2015,Total,8524,3636
2015-01-23,Sierra Leone,,20 January 2015,Confirmed,7921,2793
2015-01-23,Sierra Leone,,20 January 2015,Probable,287,208
2015-01-23,Sierra Leone,,20 January 2015,Suspected,2192,158
2015-01-23,Sierra Leone,,20 January 2015,Total,10400,3159
2015-01-23,All countries,,,Total,21797,8675
2015-01-26,Guinea,,24 January 2015,Confirmed,2559,1574
2015-01-26,Guinea,,24 January 2015,Probable,332,332
2015-01-26,Guinea,,24 January 2015,Suspected,18,Not available
2015-01-26,Guinea,,24 January 2015,Total,2909,1906
2015-01-26,Liberia,,20 January 2015,Confirmed,3136,Not available
2015-01-26,Liberia,,20 January 2015,Probable,1854,Not available
2015-01-26,Liberia,,20 January 2015,Suspected,3534,Not available
2015-01-26,Liberia,,20 January 2015,Total,8524,3636
2015-01-26,Sierra Leone,,24 January 2015,Confirmed,7963,2829
2015-01-26,Sierra Leone,,24 January 2015,Probable,287,208
2015-01-26,Sierra Leone,,24 January 2015,Suspected,2241,158
2015-01-26,Sierra Leone,,24 January 2015,Total,10491,3195
2015-01-26,All countries,,,Total,21924,8737
2015-01-27,Guinea,,25 January 2015,Confirmed,2569,1578
2015-01-27,Guinea,,25 January 2015,Probable,332,332
2015-01-27,Guinea,,25 January 2015,Suspected,16,Not available
2015-01-27,Guinea,,25 January 2015,Total,2917,1910
2015-01-27,Liberia,,25 January 2015,Confirmed,3138,Not available
2015-01-27,Liberia,,25 January 2015,Probable,1864,Not available
2015-01-27,Liberia,,25 January 2015,Suspected,3620,Not available
2015-01-27,Liberia,,25 January 2015,Total,8622,3686
2015-01-27,Sierra Leone,,25 January 2015,Confirmed,7968,2833
2015-01-27,Sierra Leone,,25 January 2015,Probable,287,208
2015-01-27,Sierra Leone,,25 January 2015,Suspected,2263,158
2015-01-27,Sierra Leone,,25 January 2015,Total,10518,3199
2015-01-27,All countries,,,Total,22057,8795
2015-01-28,Guinea,25 January 2015,Confirmed,2569,92,1578
2015-01-28,Guinea,25 January 2015,Probable,332,Not reported,332
2015-01-28,Guinea,25 January 2015,Suspected,16,Not reported,Data not available
2015-01-28,Guinea,25 January 2015,Total,2917,92,1910
2015-01-28,Liberia,25 January 2015,Confirmed,3138,20,Data not available
2015-01-28,Liberia,25 January 2015,Probable,1864,Not reported,Data not available
2015-01-28,Liberia,25 January 2015,Suspected,3620,Not reported,Data not available
2015-01-28,Liberia,25 January 2015,Total,8622,20,3686
2015-01-28,Sierra Leone,25 January 2015,Confirmed,7968,366,2833
2015-01-28,Sierra Leone,25 January 2015,Probable,287,Not reported,208
2015-01-28,Sierra Leone,25 January 2015,Suspected,2263,Not reported,158
2015-01-28,Sierra Leone,25 January 2015,Total,10518,366,3199
2015-01-28,All countries,,Total,22057,478,8795
2015-01-29,Guinea,,26 January 2015,Confirmed,2571,1579
2015-01-29,Guinea,,26 January 2015,Probable,332,332
2015-01-29,Guinea,,26 January 2015,Suspected,18,Not available
2015-01-29,Guinea,,26 January 2015,Total,2921,1911
2015-01-29,Liberia,,26 January 2015,Confirmed,3138,Not available
2015-01-29,Liberia,,26 January 2015,Probable,1864,Not available
2015-01-29,Liberia,,26 January 2015,Suspected,3641,Not available
2015-01-29,Liberia,,26 January 2015,Total,8643,3700
2015-01-29,Sierra Leone,,26 January 2015,Confirmed,7977,2841
2015-01-29,Sierra Leone,,26 January 2015,Probable,287,208
2015-01-29,Sierra Leone,,26 January 2015,Suspected,2273,158
2015-01-29,Sierra Leone,,26 January 2015,Total,10537,3207
2015-01-29,All countries,,,Total,22101,8818
2015-01-30,Guinea,,27 January 2015,Confirmed,2575,1581
2015-01-30,Guinea,,27 January 2015,Probable,332,332
2015-01-30,Guinea,,27 January 2015,Suspected,13,Not available
2015-01-30,Guinea,,27 January 2015,Total,2920,1913
2015-01-30,Liberia,,26 January 2015,Confirmed,3138,Not available
2015-01-30,Liberia,,26 January 2015,Probable,1864,Not available
2015-01-30,Liberia,,26 January 2015,Suspected,3641,Not available
2015-01-30,Liberia,,26 January 2015,Total,8643,3700
2015-01-30,Sierra Leone,,27 January 2015,Confirmed,7989,2850
2015-01-30,Sierra Leone,,27 January 2015,Probable,287,208
2015-01-30,Sierra Leone,,27 January 2015,Suspected,2285,158
2015-01-30,Sierra Leone,,27 January 2015,Total,10561,3216
2015-01-30,All countries,,,Total,22124,8829
2015-02-02,Guinea,,31 January 2015,Confirmed,2593,1595
2015-02-02,Guinea,,31 January 2015,Probable,342,342
2015-02-02,Guinea,,31 January 2015,Suspected,24,Not available
2015-02-02,Guinea,,31 January 2015,Total,2959,1937
2015-02-02,Liberia,,28 January 2015,Confirmed,3138,Not available
2015-02-02,Liberia,,28 January 2015,Probable,1864,Not available
2015-02-02,Liberia,,28 January 2015,Suspected,3666,Not available
2015-02-02,Liberia,,28 January 2015,Total,8668,3710
2015-02-02,Sierra Leone,,31 January 2015,Confirmed,8042,2908
2015-02-02,Sierra Leone,,31 January 2015,Probable,287,208
2015-02-02,Sierra Leone,,31 January 2015,Suspected,2378,158
2015-02-02,Sierra Leone,,31 January 2015,Total,10707,3274
2015-02-02,All countries,,,Total,22334,8921
2015-02-03,Guinea,,1 February 2015,Confirmed,2608,1597
2015-02-03,Guinea,,1 February 2015,Probable,347,347
2015-02-03,Guinea,,1 February 2015,Suspected,20,Not available
2015-02-03,Guinea,,1 February 2015,Total,2975,1944
2015-02-03,Liberia,,31 January 2015,Confirmed,3143,Not available
2015-02-03,Liberia,,31 January 2015,Probable,1869,Not available
2015-02-03,Liberia,,31 January 2015,Suspected,3717,Not available
2015-02-03,Liberia,,31 January 2015,Total,8729,3739
2015-02-03,Sierra Leone,,1 February 2015,Confirmed,8059,2910
2015-02-03,Sierra Leone,,1 February 2015,Probable,287,208
2015-02-03,Sierra Leone,,1 February 2015,Suspected,2394,158
2015-02-03,Sierra Leone,,1 February 2015,Total,10740,3276
2015-02-03,All countries,,,Total,22444,8959
2015-02-04,Guinea,1 February 2015,Confirmed,2608,89,1597
2015-02-04,Guinea,1 February 2015,Probable,347,Not reported,347
2015-02-04,Guinea,1 February 2015,Suspected,20,Not reported,Data not available
2015-02-04,Guinea,1 February 2015,Total,2975,89,1944
2015-02-04,Liberia,1 February 2015,Confirmed,3143,17,Data not available
2015-02-04,Liberia,1 February 2015,Probable,1870,Not reported,Data not available
2015-02-04,Liberia,1 February 2015,Suspected,3732,Not reported,Data not available
2015-02-04,Liberia,1 February 2015,Total,8745,17,3746
2015-02-04,Sierra Leone,1 February 2015,Confirmed,8059,262,2910
2015-02-04,Sierra Leone,1 February 2015,Probable,287,Not reported,208
2015-02-04,Sierra Leone,1 February 2015,Suspected,2394,Not reported,158
2015-02-04,Sierra Leone,1 February 2015,Total,10740,262,3276
2015-02-04,All countries,1 February 2015,Total,22460,368,8966
2015-02-05,Guinea,,2 February 2015,Confirmed,2621,1600
2015-02-05,Guinea,,2 February 2015,Probable,347,347
2015-02-05,Guinea,,2 February 2015,Suspected,18,Not available
2015-02-05,Guinea,,2 February 2015,Total,2986,1947
2015-02-05,Liberia,,1 February 2015,Confirmed,3143,Not available
2015-02-05,Liberia,,1 February 2015,Probable,1870,Not available
2015-02-05,Liberia,,1 February 2015,Suspected,3732,Not available
2015-02-05,Liberia,,1 February 2015,Total,8745,3746
2015-02-05,Sierra Leone,,2 February 2015,Confirmed,8063,2920
2015-02-05,Sierra Leone,,2 February 2015,Probable,287,208
2015-02-05,Sierra Leone,,2 February 2015,Suspected,2406,158
2015-02-05,Sierra Leone,,2 February 2015,Total,10756,3286
2015-02-05,All countries,,,Total,22487,8979
2015-02-06,Guinea,,3 February 2015,Confirmed,2628,1608
2015-02-06,Guinea,,3 February 2015,Probable,349,349
2015-02-06,Guinea,,3 February 2015,Suspected,11,Not available
2015-02-06,Guinea,,3 February 2015,Total,2988,1957
2015-02-06,Liberia,,1 February 2015,Confirmed,3143,Not available
2015-02-06,Liberia,,1 February 2015,Probable,1870,Not available
2015-02-06,Liberia,,1 February 2015,Suspected,3732,Not available
2015-02-06,Liberia,,1 February 2015,Total,8745,3746
2015-02-06,Sierra Leone,,3 February 2015,Confirmed,8084,2935
2015-02-06,Sierra Leone,,3 February 2015,Probable,287,208
2015-02-06,Sierra Leone,,3 February 2015,Suspected,2421,158
2015-02-06,Sierra Leone,,3 February 2015,Total,10792,3301
2015-02-06,All countries,,,Total,22525,9004
2015-02-09,Guinea,,7 February 2015,Confirmed,2671,1640
2015-02-09,Guinea,,7 February 2015,Probable,350,350
2015-02-09,Guinea,,7 February 2015,Suspected,21,Not available
2015-02-09,Guinea,,7 February 2015,Total,3042,1990
2015-02-09,Liberia,,7 February 2015,Confirmed,3146,Not available
2015-02-09,Liberia,,7 February 2015,Probable,1873,Not available
2015-02-09,Liberia,,7 February 2015,Suspected,3862,Not available
2015-02-09,Liberia,,7 February 2015,Total,8881,3826
2015-02-09,Sierra Leone,,7 February 2015,Confirmed,8122,2970
2015-02-09,Sierra Leone,,7 February 2015,Probable,287,208
2015-02-09,Sierra Leone,,7 February 2015,Suspected,2496,158
2015-02-09,Sierra Leone,,7 February 2015,Total,10905,3336
2015-02-09,All countries,,,Total,22828,9152
2015-02-10,Guinea,,8 February 2015,Confirmed,2674,1643
2015-02-10,Guinea,,8 February 2015,Probable,352,352
2015-02-10,Guinea,,8 February 2015,Suspected,18,Not available
2015-02-10,Guinea,,8 February 2015,Total,3044,1995
2015-02-10,Liberia,,7 February 2015,Confirmed,3146,Not available
2015-02-10,Liberia,,7 February 2015,Probable,1873,Not available
2015-02-10,Liberia,,7 February 2015,Suspected,3862,Not available
2015-02-10,Liberia,,7 February 2015,Total,8881,3826
2015-02-10,Sierra Leone,,8 February 2015,Confirmed,8135,2975
2015-02-10,Sierra Leone,,8 February 2015,Probable,287,208
2015-02-10,Sierra Leone,,8 February 2015,Suspected,2512,158
2015-02-10,Sierra Leone,,8 February 2015,Total,10934,3341
2015-02-10,All countries,,,Total,22859,9162
2015-02-11,Guinea,8 February 2015,Confirmed,2674,134,1643
2015-02-11,Guinea,8 February 2015,Probable,352,Not reported,352
2015-02-11,Guinea,8 February 2015,Suspected,18,Not reported,Data not available.
2015-02-11,Guinea,8 February 2015,Total,3044,134,1995
2015-02-11,Liberia,7 February 2015,Confirmed,3146,12,Not available
2015-02-11,Liberia,7 February 2015,Probable,1873,Not reported,Data not available.
2015-02-11,Liberia,7 February 2015,Suspected,3862,Not reported,Data not available.
2015-02-11,Liberia,7 February 2015,Total,8881,12,3826
2015-02-11,Sierra Leone,8 February 2015,Confirmed,8135,221,2975
2015-02-11,Sierra Leone,8 February 2015,Probable,287,Not reported,208
2015-02-11,Sierra Leone,8 February 2015,Suspected,2512,Not reported,158
2015-02-11,Sierra Leone,8 February 2015,Total,10934,221,3341
2015-02-11,All countries,8 February 2015,Total,22859,367,9162
2015-02-12,Guinea,,9 February 2015,Confirmed,2685,1651
2015-02-12,Guinea,,9 February 2015,Probable,367,367
2015-02-12,Guinea,,9 February 2015,Suspected,16,Not available
2015-02-12,Guinea,,9 February 2015,Total,3068,2018
2015-02-12,Liberia,,7 February 2015,Confirmed,3146,Not available
2015-02-12,Liberia,,7 February 2015,Probable,1873,Not available
2015-02-12,Liberia,,7 February 2015,Suspected,3862,Not available
2015-02-12,Liberia,,7 February 2015,Total,8881,3826
2015-02-12,Sierra Leone,,9 February 2015,Confirmed,8138,2984
2015-02-12,Sierra Leone,,9 February 2015,Probable,287,208
2015-02-12,Sierra Leone,,9 February 2015,Suspected,2529,158
2015-02-12,Sierra Leone,,9 February 2015,Total,10954,3350
2015-02-12,All countries,,,Total,22903,9194
2015-02-13,Guinea,,10 February 2015,Confirmed,2693,1659
2015-02-13,Guinea,,10 February 2015,Probable,373,373
2015-02-13,Guinea,,10 February 2015,Suspected,15,Not available
2015-02-13,Guinea,,10 February 2015,Total,3081,2032
2015-02-13,Liberia,,9 February 2015,Confirmed,3147,Not available
2015-02-13,Liberia,,9 February 2015,Probable,1876,Not available
2015-02-13,Liberia,,9 February 2015,Suspected,3908,Not available
2015-02-13,Liberia,,9 February 2015,Total,8931,3858
2015-02-13,Sierra Leone,,10 February 2015,Confirmed,8155,2997
2015-02-13,Sierra Leone,,10 February 2015,Probable,287,208
2015-02-13,Sierra Leone,,10 February 2015,Suspected,2545,158
2015-02-13,Sierra Leone,,10 February 2015,Total,10987,3363
2015-02-13,All countries,,,Total,22999,9253
2015-02-16,Guinea,,14 February 2015,Confirmed,2720,1678
2015-02-16,Guinea,,14 February 2015,Probable,374,374
2015-02-16,Guinea,,14 February 2015,Suspected,7,Not available
2015-02-16,Guinea,,14 February 2015,Total,3101,2052
2015-02-16,Liberia,,12 February 2015,Confirmed,3149,Not available
2015-02-16,Liberia,,12 February 2015,Probable,1876,Not available
2015-02-16,Liberia,,12 February 2015,Suspected,3982,Not available
2015-02-16,Liberia,,12 February 2015,Total,9007,3900
2015-02-16,Sierra Leone,,14 February 2015,Confirmed,8199,3035
2015-02-16,Sierra Leone,,14 February 2015,Probable,287,208
2015-02-16,Sierra Leone,,14 February 2015,Suspected,2588,158
2015-02-16,Sierra Leone,,14 February 2015,Total,11074,3401
2015-02-16,All countries,,,Total,23182,9353
2015-02-17,Guinea,,15 February 2015,Confirmed,2727,1683
2015-02-17,Guinea,,15 February 2015,Probable,374,374
2015-02-17,Guinea,,15 February 2015,Suspected,7,Not available
2015-02-17,Guinea,,15 February 2015,Total,3108,2057
2015-02-17,Liberia,,12 February 2015,Confirmed,3149,Not available
2015-02-17,Liberia,,12 February 2015,Probable,1876,Not available
2015-02-17,Liberia,,12 February 2015,Suspected,3982,Not available
2015-02-17,Liberia,,12 February 2015,Total,9007,3900
2015-02-17,Sierra Leone,,15 February 2015,Confirmed,8212,3042
2015-02-17,Sierra Leone,,15 February 2015,Probable,287,208
2015-02-17,Sierra Leone,,15 February 2015,Suspected,2604,158
2015-02-17,Sierra Leone,,15 February 2015,Total,11103,3408
2015-02-17,All countries,,,Total,23218,9365
2015-02-18,Guinea,15 February 2015,Confirmed,2727,156,1683
2015-02-18,Guinea,15 February 2015,Probable,374,Not reported,374
2015-02-18,Guinea,15 February 2015,Suspected,7,Not reported,Data not available.
2015-02-18,Guinea,15 February 2015,Total,3108,156,2057
2015-02-18,Liberia,12 February 2015,Confirmed,3149,11,Data not available.
2015-02-18,Liberia,12 February 2015,Probable,1876,Not reported,Data not available.
2015-02-18,Liberia,12 February 2015,Suspected,3982,Not reported,Data not available.
2015-02-18,Liberia,12 February 2015,Total,9007,11,3900
2015-02-18,Sierra Leone,15 February 2015,Confirmed,8212,230,3042
2015-02-18,Sierra Leone,15 February 2015,Probable,287,Not reported,208
2015-02-18,Sierra Leone,15 February 2015,Suspected,2604,Not reported,158
2015-02-18,Sierra Leone,15 February 2015,Total,11103,230,3408
2015-02-18,All countries,15 February 2015,Total,23218,397,9365
2015-02-19,Guinea,,17 February 2015,Confirmed,2732,1686
2015-02-19,Guinea,,17 February 2015,Probable,381,381
2015-02-19,Guinea,,17 February 2015,Suspected,2,Not available
2015-02-19,Guinea,,17 February 2015,Total,3115,2067
2015-02-19,Liberia,,16 February 2015,Confirmed,3152,Not available
2015-02-19,Liberia,,16 February 2015,Probable,1882,Not available
2015-02-19,Liberia,,16 February 2015,Suspected,4062,Not available
2015-02-19,Liberia,,16 February 2015,Total,9096,3947
2015-02-19,Sierra Leone,,17 February 2015,Confirmed,8223,3057
2015-02-19,Sierra Leone,,17 February 2015,Probable,287,208
2015-02-19,Sierra Leone,,17 February 2015,Suspected,2645,158
2015-02-19,Sierra Leone,,17 February 2015,Total,11155,3423
2015-02-19,All countries,,,Total,23366,9437
2015-02-20,Guinea,,18 February 2015,Confirmed,2734,1688
